# Reporte de Contaminación Atmosférica
# Generado: 2026-01-18 18:19:58
# Zonas: 5, Días: 30
# Contaminantes: CO2,SO2,NO2,PM2.5
# Límites OMS: 80.00,40.00,40.00,30.00
#
Zona_ID,Zona_Nombre,Fecha,CO2_Valor,SO2_Valor,NO2_Valor,PM2.5_Valor,CO2_Tendencia,SO2_Tendencia,NO2_Tendencia,PM2.5_Tendencia,CO2_Dias_Consecutivos,SO2_Dias_Consecutivos,NO2_Dias_Consecutivos,PM2.5_Dias_Consecutivos,Factor_Zona
2,"Zona Industrial",2025-12-30,89.48,70.86,49.62,80.48,-1,-1,-1,-1,1,1,1,1,2.00
2,"Zona Industrial",2025-12-31,96.48,72.26,51.02,79.08,1,1,1,-1,1,1,1,2,2.00
2,"Zona Industrial",2026-01-01,90.88,68.06,52.42,86.08,-1,-1,1,1,1,1,2,1,2.00
2,"Zona Industrial",2026-01-02,97.60,71.42,60.82,77.68,1,1,1,-1,1,1,3,1,2.00
2,"Zona Industrial",2026-01-03,107.60,77.42,54.82,85.68,1,1,-1,1,2,2,1,1,2.00
2,"Zona Industrial",2026-01-04,100.60,80.22,52.02,89.88,-1,1,-1,1,1,3,2,2,2.00
2,"Zona Industrial",2026-01-05,103.40,73.22,53.42,95.48,1,-1,1,1,1,1,1,3,2.00
2,"Zona Industrial",2026-01-06,106.20,67.62,52.02,92.68,1,-1,-1,-1,2,2,1,1,2.00
2,"Zona Industrial",2026-01-07,109.00,66.22,59.02,94.08,1,-1,1,1,3,3,1,1,2.00
2,"Zona Industrial",2026-01-08,110.40,60.62,60.42,91.28,1,-1,1,-1,4,4,2,1,2.00
2,"Zona Industrial",2026-01-09,113.76,67.34,57.06,99.68,1,1,-1,1,5,1,1,1,2.00
2,"Zona Industrial",2026-01-10,108.72,60.62,48.66,108.08,-1,-1,-1,1,1,1,2,2,2.00
2,"Zona Industrial",2026-01-11,110.40,65.66,53.70,103.04,1,1,1,-1,1,1,1,1,2.00
2,"Zona Industrial",2026-01-12,106.20,58.66,52.30,96.04,-1,-1,-1,-1,1,1,1,2,2.00
2,"Zona Industrial",2026-01-13,111.80,62.86,56.50,89.04,1,1,1,-1,1,1,1,3,2.00
2,"Zona Industrial",2026-01-14,106.20,65.66,59.30,84.84,-1,1,1,-1,1,2,2,4,2.00
2,"Zona Industrial",2026-01-15,104.38,56.56,57.48,90.30,-1,-1,-1,1,2,1,1,1,2.00
2,"Zona Industrial",2026-01-16,97.38,49.56,56.08,87.50,-1,-1,-1,-1,3,2,2,1,2.00
2,"Zona Industrial",2026-01-17,98.78,48.16,61.68,88.90,1,-1,1,1,1,3,1,1,2.00
2,"Zona Industrial",2026-01-18,105.50,53.20,68.40,95.62,1,1,1,1,2,1,2,2,2.00
2,"Zona Industrial",2026-01-18,115.50,45.20,64.40,103.62,1,-1,-1,1,3,1,1,3,2.00
2,"Zona Industrial",2026-01-18,112.10,47.20,71.40,96.62,-1,1,1,-1,1,1,1,1,2.00
3,"Residencial Norte",2025-12-22,68.83,61.83,52.61,42.75,-1,1,1,-1,1,2,2,2,1.00
3,"Residencial Norte",2025-12-23,63.30,57.28,48.97,40.02,-1,-1,-1,-1,2,1,1,3,1.00
3,"Residencial Norte",2025-12-24,59.99,58.19,45.33,35.47,-1,1,-1,-1,3,1,2,4,1.00
3,"Residencial Norte",2025-12-25,63.99,56.09,42.53,38.27,1,-1,-1,1,1,1,3,1,1.00
3,"Residencial Norte",2025-12-26,68.24,56.79,39.03,35.47,1,1,-1,-1,2,1,4,1,1.00
3,"Residencial Norte",2025-12-27,63.14,55.95,40.71,36.31,-1,-1,1,1,1,1,1,1,1.00
3,"Residencial Norte",2025-12-28,65.18,58.47,44.07,37.99,1,1,1,1,1,1,2,2,1.00
3,"Residencial Norte",2025-12-29,68.24,55.95,41.55,34.63,1,-1,-1,-1,2,1,1,1,1.00
3,"Residencial Norte",2025-12-30,71.29,60.15,44.07,30.43,1,1,1,-1,3,1,1,2,1.00
3,"Residencial Norte",2025-12-31,76.82,64.70,41.34,32.25,1,1,-1,1,4,2,1,1,1.00
3,"Residencial Norte",2026-01-01,77.52,62.60,42.74,30.85,1,-1,1,-1,5,1,1,1,1.00
3,"Residencial Norte",2026-01-02,74.02,61.20,42.04,30.15,-1,-1,-1,-1,1,2,1,2,1.00
3,"Residencial Norte",2026-01-03,79.54,65.75,42.95,34.70,1,1,1,1,1,1,1,1,1.00
3,"Residencial Norte",2026-01-04,78.14,62.25,43.65,33.30,-1,-1,1,-1,1,1,2,1,1.00
3,"Residencial Norte",2026-01-05,80.94,61.55,40.15,31.20,1,-1,-1,-1,1,2,1,2,1.00
3,"Residencial Norte",2026-01-06,80.25,63.65,42.25,30.50,-1,1,1,-1,1,1,1,3,1.00
3,"Residencial Norte",2026-01-07,80.94,65.05,40.15,32.60,1,1,-1,1,1,2,1,1,1.00
3,"Residencial Norte",2026-01-08,81.64,67.85,37.35,29.80,1,1,-1,-1,2,3,2,1,1.00
3,"Residencial Norte",2026-01-09,77.44,67.01,38.37,28.12,-1,-1,1,-1,1,1,1,2,1.00
3,"Residencial Norte",2026-01-10,79.96,64.49,35.85,31.48,1,-1,-1,1,1,2,1,1,1.00
3,"Residencial Norte",2026-01-11,75.76,68.69,31.77,34.84,-1,1,-1,1,1,1,2,2,1.00
3,"Residencial Norte",2026-01-12,75.07,67.29,32.62,32.74,-1,-1,1,-1,2,1,1,1,1.00
3,"Residencial Norte",2026-01-13,72.26,69.39,31.77,33.44,-1,1,-1,1,3,1,1,1,1.00
3,"Residencial Norte",2026-01-14,70.57,67.29,30.92,32.04,-1,-1,-1,-1,4,1,2,1,1.00
3,"Residencial Norte",2026-01-15,68.87,70.09,35.17,31.34,-1,1,1,-1,5,1,1,2,1.00
3,"Residencial Norte",2026-01-16,72.18,67.36,31.86,34.98,1,-1,-1,1,1,1,1,1,1.00
3,"Residencial Norte",2026-01-17,69.97,70.09,35.17,33.16,-1,1,1,-1,1,1,1,1,1.00
3,"Residencial Norte",2026-01-18,65.89,70.93,32.11,34.84,-1,1,-1,1,2,2,1,1,1.00
3,"Residencial Norte",2026-01-18,59.26,67.65,33.44,30.47,-1,-1,1,-1,3,1,1,1,1.00
3,"Residencial Norte",2026-01-18,58.26,69.75,30.44,31.47,-1,1,-1,1,4,1,1,1,1.00
4,"Residencial Sur",2025-12-22,35.40,75.44,81.52,68.84,1,-1,-1,-1,1,2,1,1,1.20
4,"Residencial Sur",2025-12-23,34.20,79.64,83.20,64.64,-1,1,1,-1,1,1,1,2,1.20
4,"Residencial Sur",2025-12-24,41.69,83.57,89.75,71.19,1,1,1,1,1,2,2,1,1.20
4,"Residencial Sur",2025-12-25,47.45,87.60,87.74,72.20,1,1,-1,1,2,3,1,2,1.20
4,"Residencial Sur",2025-12-26,46.01,84.58,92.78,69.18,-1,-1,1,-1,1,1,1,1,1.20
4,"Residencial Sur",2025-12-27,44.57,87.60,93.78,67.16,-1,1,1,-1,2,1,2,2,1.20
4,"Residencial Sur",2025-12-28,39.77,91.80,91.26,65.48,-1,1,-1,-1,3,2,1,3,1.20
4,"Residencial Sur",2025-12-29,31.97,96.17,96.72,69.85,-1,1,1,1,4,3,1,1,1.20
4,"Residencial Sur",2025-12-30,27.17,94.49,95.88,66.49,-1,-1,-1,-1,5,1,1,1,1.20
4,"Residencial Sur",2025-12-31,32.93,99.53,92.86,71.53,1,1,-1,1,1,1,2,1,1.20
4,"Residencial Sur",2026-01-01,27.31,103.46,94.17,68.91,-1,1,1,-1,1,2,1,1,1.20
4,"Residencial Sur",2026-01-02,22.99,100.44,93.16,71.93,-1,-1,-1,1,2,1,1,1,1.20
4,"Residencial Sur",2026-01-03,15.19,102.12,91.48,70.25,-1,1,-1,-1,3,1,2,1,1.20
4,"Residencial Sur",2026-01-04,19.19,97.75,94.76,69.16,1,-1,1,-1,1,1,1,2,1.20
4,"Residencial Sur",2026-01-05,21.19,103.21,100.22,72.44,1,1,1,1,2,1,2,1,1.20
4,"Residencial Sur",2026-01-06,22.75,100.69,102.74,70.76,1,-1,1,-1,3,1,3,1,1.20
4,"Residencial Sur",2026-01-07,21.19,98.17,101.90,67.40,-1,-1,-1,-1,1,2,1,2,1.20
4,"Residencial Sur",2026-01-08,14.95,95.65,98.54,68.24,-1,-1,-1,1,2,3,2,1,1.20
4,"Residencial Sur",2026-01-09,22.75,93.97,101.90,71.60,1,-1,1,1,1,4,1,2,1.20
4,"Residencial Sur",2026-01-10,24.62,99.01,104.92,73.61,1,1,1,1,2,1,2,3,1.20
4,"Residencial Sur",2026-01-11,27.74,100.69,101.56,72.77,1,1,-1,-1,3,2,1,1,1.20
4,"Residencial Sur",2026-01-12,33.74,96.49,102.40,71.93,1,-1,1,-1,4,1,1,2,1.20
4,"Residencial Sur",2026-01-13,31.34,95.65,101.56,67.73,-1,-1,-1,-1,1,2,1,3,1.20
4,"Residencial Sur",2026-01-14,36.14,98.17,104.08,70.25,1,1,1,1,1,1,1,1,1.20
4,"Residencial Sur",2026-01-15,38.54,93.97,107.44,67.73,1,-1,1,-1,2,1,2,1,1.20
4,"Residencial Sur",2026-01-16,37.10,88.93,111.47,72.77,-1,-1,1,1,1,2,3,1,1.20
4,"Residencial Sur",2026-01-17,34.70,89.77,108.95,73.61,-1,1,-1,1,2,1,1,2,1.20
4,"Residencial Sur",2026-01-18,35.90,85.57,109.79,71.93,1,-1,1,-1,1,1,1,1,1.20
4,"Residencial Sur",2026-01-18,26.54,90.81,112.42,78.48,-1,1,1,1,1,1,2,1,1.20
4,"Residencial Sur",2026-01-18,28.10,87.45,109.06,75.12,1,-1,-1,-1,1,1,1,1,1.20
5,"Area Comercial",2025-12-22,72.54,32.28,54.91,30.79,1,1,-1,1,2,1,2,1,1.80
5,"Area Comercial",2025-12-23,79.89,38.33,60.96,38.35,1,1,1,1,3,2,1,2,1.80
5,"Area Comercial",2025-12-24,76.11,34.55,55.92,37.09,-1,-1,-1,-1,1,1,1,1,1.80
5,"Area Comercial",2025-12-25,81.02,32.91,62.47,45.28,1,-1,1,1,1,2,1,1,1.80
5,"Area Comercial",2025-12-26,88.58,26.87,54.91,51.33,1,-1,-1,1,2,3,1,2,1.80
5,"Area Comercial",2025-12-27,85.56,30.54,60.96,57.37,-1,1,1,1,1,1,1,3,1.80
5,"Area Comercial",2025-12-28,93.42,40.37,62.93,59.34,1,1,1,1,1,2,2,4,1.80
5,"Area Comercial",2025-12-29,96.44,35.83,68.97,63.88,1,-1,1,1,2,1,3,5,1.80
5,"Area Comercial",2025-12-30,91.40,42.13,63.93,60.10,-1,1,-1,-1,1,1,1,1,1.80
5,"Area Comercial",2025-12-31,88.88,47.17,68.97,58.84,-1,1,1,-1,2,2,1,2,1.80
5,"Area Comercial",2026-01-01,85.10,42.13,72.75,62.62,-1,-1,1,1,3,1,2,1,1.80
5,"Area Comercial",2026-01-02,86.62,46.67,75.78,56.57,1,1,1,-1,1,1,3,1,1.80
5,"Area Comercial",2026-01-03,81.58,47.93,74.52,61.61,-1,1,-1,1,1,2,1,1,1.80
5,"Area Comercial",2026-01-04,85.36,42.89,77.04,67.91,1,-1,1,1,1,1,1,2,1.80
5,"Area Comercial",2026-01-05,83.84,50.45,70.99,72.44,-1,1,-1,1,1,1,1,3,1.80
5,"Area Comercial",2026-01-06,91.40,51.96,78.55,80.00,1,1,1,1,1,2,1,4,1.80
5,"Area Comercial",2026-01-07,96.32,45.41,70.36,78.37,1,-1,-1,-1,2,1,1,1,1.80
5,"Area Comercial",2026-01-08,101.23,51.96,76.91,81.64,1,1,1,1,3,1,1,1,1.80
5,"Area Comercial",2026-01-09,96.32,55.23,85.10,75.09,-1,1,1,-1,1,2,2,1,1.80
5,"Area Comercial",2026-01-10,97.58,53.97,81.32,76.35,1,-1,-1,1,1,1,1,1,1.80
5,"Area Comercial",2026-01-11,91.28,47.67,78.80,80.13,-1,-1,-1,1,1,2,2,2,1.80
5,"Area Comercial",2026-01-12,92.54,50.19,81.32,75.09,1,1,1,-1,1,1,1,1,1.80
5,"Area Comercial",2026-01-13,100.40,56.09,89.18,73.12,1,1,1,-1,2,2,2,2,1.80
5,"Area Comercial",2026-01-14,106.70,53.57,86.66,76.90,1,-1,-1,1,3,1,1,1,1.80
5,"Area Comercial",2026-01-15,109.72,56.59,92.71,70.86,1,1,1,-1,4,1,1,1,1.80
5,"Area Comercial",2026-01-16,105.94,62.89,93.97,65.82,-1,1,1,-1,1,2,2,2,1.80
5,"Area Comercial",2026-01-17,104.68,57.85,92.71,68.34,-1,-1,-1,1,2,1,1,1,1.80
5,"Area Comercial",2026-01-18,106.20,63.90,100.27,69.85,1,1,1,1,1,1,1,2,1.80
5,"Area Comercial",2026-01-18,114.06,56.04,106.17,65.92,1,-1,1,-1,2,1,2,1,1.80
5,"Area Comercial",2026-01-18,112.53,51.45,99.87,69.70,-1,-1,-1,1,1,2,1,1,1.80
